QUESTION,CATEGORY,CORRECT ANSWER,WRONG 1,WRONG 2,WRONG 3
What is this animal?,Animals,Lion,Bat,Penguin,Elephant
What is this animal?,Animals,Ostrich,Penguin,Elephant,Seal
What is this animal?,Animals,Ant,Worm,Bee,Butterfly
What is this animal?,Animals,Whale,Shark,Clownfish,Seahorse
What is this animal?,Animals,Penguin,Whale,Seal,Shark
What is this animal?,Animals,Shark,Bat,Chicken,Dog
What is this animal?,Animals,Cat,Dog,Mouse,Bee
What is this animal?,Animals,Mouse,Dog,Bat,Bee
What is this animal?,Animals,Dog,Cat,Cow,Bird
What is this animal?,Animals,Butterfly,Ant,Worm,Dog
